ID;Sample_ID;Stream;Site;Region;Bag;Treatment;Landscape;TreatmentLandscape;DW_beforeGrammAlder;DW_beforeGrammAsh;DW_Total;Mesh;Leave1;Leave2;Leaf;DW_afterGrammAlder;DW_afterGrammAsh;Loss_AbsolutAlder;Loss_AbsolutAsh;Loss_Absolut_Sum;Loss_RelativeAlder;Loss_RelativeAsh;Loss_Relative_Sum;Leaf_Disk_Weight_Alder;Leaf_Disk_Weight_Ash;DW_gramAlder_Adj;DW_gramAsh_Adj;DW_gramAlder_Adjusted;DW_gramAsh_Adjusted;Site_ID;AvGDegreeDays;kAlder;kAsh;k;kcAlder;kcAsh;kcMix;kfAlder;kfAsh;kfMix;lambdaFAlder;lambdaFAsh;lambdaFMix;lambda.correct
TG_1_A_1;TG1A1;TG1;TG1A;TG;Fine;FineAlder;A;FineAlderA;5.01;NA;5.01;Fine;Alder;Alder;Alder;3.16;NA;1.85;0;1.85;36.9261477;NA;36.9261477;0.0377;NA;3.1977;0;3.1977;NA;TG1A;117.7036042;0.003814701;NA;0.003814701;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000485737
TG_1_A_2;TG1A2;TG1;TG1A;TG;Fine;FineAlder;A;FineAlderA;5.03;NA;5.03;Fine;Alder;Alder;Alder;3.19;NA;1.84;0;1.84;36.5805169;NA;36.5805169;0.0358;NA;3.2258;0;3.2258;NA;TG1A;117.7036042;0.003774217;NA;0.003774217;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000485737
TG_1_A_3;TG1A3;TG1;TG1A;TG;Fine;FineAlder;A;FineAlderA;5.02;NA;5.02;Fine;Alder;Alder;Alder;3.29;NA;1.73;0;1.73;34.46215139;NA;34.46215139;0.0425;NA;3.3325;0;3.3325;NA;TG1A;117.7036042;0.003480838;NA;0.003480838;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000485737
TG_1_A_4;TG1A4;TG1;TG1A;TG;Fine;FineAlder;A;FineAlderA;5.01;NA;5.01;Fine;Alder;Alder;Alder;3.33;NA;1.68;0;1.68;33.53293413;NA;33.53293413;0.05;NA;3.38;0;3.38;NA;TG1A;117.7036042;0.003343655;NA;0.003343655;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000485737
TG_1_A_5;TG1A5;TG1;TG1A;TG;Fine;FineAsh;A;FineAshA;NA;5;5;Fine;Ash;Ash;Ash;NA;2.39;0;2.61;2.61;NA;52.2;52.2;NA;0.032;0;2.422;NA;2.422;TG1A;117.7036042;NA;0.006158216;0.006158216;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000650181
TG_1_A_6;TG1A6;TG1;TG1A;TG;Fine;FineAsh;A;FineAshA;NA;5.01;5.01;Fine;Ash;Ash;Ash;NA;2.63;0;2.38;2.38;NA;47.50499002;47.50499002;NA;0.0434;0;2.6734;NA;2.6734;TG1A;117.7036042;NA;0.005336156;0.005336156;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000650181
TG_1_A_7;TG1A7;TG1;TG1A;TG;Fine;FineAsh;A;FineAshA;NA;4.97;4.97;Fine;Ash;Ash;Ash;NA;2.17;0;2.8;2.8;NA;56.33802817;56.33802817;NA;0.0342;0;2.2042;NA;2.2042;TG1A;117.7036042;NA;0.006907649;0.006907649;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000650181
TG_1_A_8;TG1A8;TG1;TG1A;TG;Fine;FineAsh;A;FineAshA;NA;5.04;5.04;Fine;Ash;Ash;Ash;NA;2.45;0;2.59;2.59;NA;51.38888889;51.38888889;NA;0.0483;0;2.4983;NA;2.4983;TG1A;117.7036042;NA;0.005962397;0.005962397;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000650181
TG_1_A_9;TG1A9;TG1;TG1A;TG;Fine;FineMix;A;FineMixA;2.51;2.47;4.98;Fine;Alder;Ash;Mix;1.7;1.35;0.81;1.12;1.93;32.27091633;45.34412955;38.75502008;0.0404;0.0398;1.7404;1.3898;1.7404;1.3898;TG1A;117.7036042;0.003110931;0.004885647;0.003998289;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.00119295
TG_1_A_10;TG1A10;TG1;TG1A;TG;Fine;FineMix;A;FineMixA;2.48;2.49;4.97;Fine;Alder;Ash;Mix;1.64;1.13;0.84;1.36;2.2;33.87096774;54.6184739;44.26559356;0.0408;0.0323;1.6808;1.1623;1.6808;1.1623;TG1A;117.7036042;0.003304815;0.006472885;0.00488885;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.00119295
TG_1_A_11;TG1A11;TG1;TG1A;TG;Fine;FineMix;A;FineMixA;2.52;2.52;5.04;Fine;Alder;Ash;Mix;1.63;1.28;0.89;1.24;2.13;35.31746032;49.20634921;42.26190476;0.0421;0.0392;1.6721;1.3192;1.6721;1.3192;TG1A;117.7036042;0.003484843;0.005498841;0.004491842;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.00119295
TG_1_A_12;TG1A12;TG1;TG1A;TG;Fine;FineMix;A;FineMixA;2.48;2.49;4.97;Fine;Alder;Ash;Mix;1.64;1.27;0.84;1.22;2.06;33.87096774;48.99598394;41.44869215;0.0447;0.0435;1.6847;1.3135;1.6847;1.3135;TG1A;117.7036042;0.003285125;0.005433881;0.004359503;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.00119295
TG_1_A_13;TG1A13;TG1;TG1A;TG;Coarse;CoarseAlder;A;CoarseAlderA;5.02;NA;5.02;Coarse;Alder;Alder;Alder;2.9;NA;2.12;0;2.12;42.2310757;NA;42.2310757;0.0425;NA;2.9425;0;2.9425;NA;TG1A;117.7036042;0.004538267;NA;0.004538267;0.00453887;0.007351954;0.006668994;0.003603353;0.006091105;0.004434621;0.000485737;0.000650181;0.00119295;0.000485737
