Sample_ID	Type	Site_ID	Order	Family	Genus	Species	Larvae	Adult	Nymphe	Total	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Length10	NumberExtra	AverageLength	TotalLength	Taxon	SpeciesRichness	ShannonIndex	grazer	miner	xylobiont	shredder	gatherer	activefilterfeeder	passivefilterfeeder	predator	parasite	other	ActiveShredder	lna	b	a	DryMass	TotalDryMass	Sum_Biomass	Stream	Site	Region	Treatment	Landscape	TreatmentLandscape	Leaf	lambda.correct
TG1A13	Bag	TG1A	Ephemeroptera	Baetidae	Alainites	muticus	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	Alainites muticus	17	1.336062232	5	0	0	0	5	0	0	0	0	0	NO	-5.24004846	2.875	0.0053	0.124738201	0.124738201	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Ephemeroptera	Baetidae	Baetis	sp.	1	NA	NA	1	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5	4.5	Baetis sp.	17	1.336062232	5	0	0	0	5	0	0	0	0	0	NO	-4.95	2.15	0.007083409	0.179741855	0.179741855	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Ephemeroptera	Leptophlebiidae	Habrophlebia	sp.	3	NA	NA	3	2.5	2.5	3	NA	NA	NA	NA	NA	NA	NA	NA	2.666666667	8	Habrophlebia sp.	17	1.336062232	1.333333333	0	0	0	8.666666667	0	0	0	0	0	NO	-5.7628	3.013	0.003142301	0.060351984	0.181055951	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Ephemeroptera	Leptophlebiidae	Habroleptoides	sp.	6	NA	NA	6	6	5.5	6	4.5	5	4.5	NA	NA	NA	NA	NA	5.25	31.5	Habroleptoides sp.	17	1.336062232	0	0	0	0	10	0	0	0	0	0	NO	-5.5136	2.9262	0.004031568	0.516183476	3.097100859	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Plecoptera	Capniidae	Capnia	sp.	2	NA	NA	2	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	13	Capnia sp.	17	1.336062232	1.666666667	0	0	5.333333333	3	0	0	0	0	0	YES	-5.33913936	2.562333	0.0048	0.581026523	1.162053046	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Coleoptera	Gyrinidae	Orectochilus	villosus	1	NA	NA	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10	Orectochilus villosus	17	1.336062232	0	0	0	0	0	0	0	10	0	0	NO	NA	NA	NA	NA	NA	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Trichoptera	Rhyacophilidae	Rhyacophila	sp.	2	NA	NA	2	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	16	Rhyacophila sp.	17	1.336062232	0.12	0	0	0.12	0	0	0	9.76	0	0	NO	-6.4419	3.1237	0.001593376	1.055116876	2.110233752	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Trichoptera	Limnephilidae			16	NA	NA	16	4	6	6.5	5	4	7	2.5	3	8	2	6	4.8	76.8	Limnephilidae	17	1.336062232	3.010305407	0.01635514	0.021028037	2.97402787	1.671937583	0.193925234	0.268691589	1.814523531	0.029205607	0	NO	-5.2189	2.966	0.00541328	0.567573406	9.081174503	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Trichoptera	Hydropsychidae	Hydropsyche	sp.	1	NA	NA	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	Hydropsyche sp.	17	1.336062232	1.875	0	0	0	0.0625	0	5.1875	2.875	0	0	NO	-5.11599581	2.708	0.006	1.165941452	1.165941452	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
TG1A13	Bag	TG1A	Nematoda				7	NA	NA	7	8	4	7	5	4	6	8	NA	NA	NA	NA	6	42	Nematoda	17	1.336062232	0	0	0	0	0	0	0	0	10	0	NO	NA	NA	NA	NA	NA	130.6812175	TG1	TG1A	TG	CoarseAlder	A	CoarseAlderA	Alder	0.000485737
